"No","Nama Program","IPTA","Kod Program","Tahun","Purata Merit","Tags","Syarat Am","Syarat Khas","Info"
"279","DIPLOMA TEKNOLOGI HIGIEN INDUSTRI","Universiti Teknologi Mara","UE4545001","2026","60.00%","STEM, Bumiputera","Warganegara Malaysia yang mempunyai No. Kad Pengenalan / My Kad. Memiliki Sijil Pelajaran Malaysia (SPM) dengan mendapat sekurang-kurangnya :- Gred C bagi matapelajaran BAHASA MELAYU. Gred E bagi matapelajaran SEJARAH. DUA (2) C dalam mana-mana matapelajaran yang belum dikira.","Mendapat sekurang-kurangnya Gred C dalam mata pelajaran Bahasa Inggeris. Mendapat sekurang-kurangnya Gred C dalam SATU (1) mata pelajaran berikut : • Matematik / Matematik Tambahan Mendapat sekurang-kurangnya Gred C dalam SATU (1) mata pelajaran berikut : • Pengajian Kejuruteraan Mekanikal / Fizik / Kimia / Biologi / Sains / Sains Tambahan / Asas Kelestarian / Reka Cipta / Pengajian Kejuruteraan Awam / Pengajian Kejuruteraan Elektrik & Elektronik / Lukisan Kejuruteraan / Kerja Paip Domestik / Pembinaan Domestik / Pembuatan Perabot / Pendawaian Domestik / Menservis Automobil / Kimpalan Arka Dan Gas / Menservis Motosikal / Menservis Peralatan Penyejukan & Penyamanan Udara / Menservis Peralatan Elektrik Domestik Berketurunan Melayu, Anak Negeri Sabah, Anak Negeri Sarawak dan Orang Asli sahaja.","Peringkat Pengajian : Diploma Mod Pengajian : Konvensional Tempoh Pengajian : 05 Semester Bidang NEC : 1022 Kesihatan Dan Keselamatan Pekerjaan Bertemu duga / Ujian: Tidak Joint / Dual / Double Degree : Tidak Purata Markah Merit: 60.00% Catatan: Tidak Berkenaan"
"280","DIPLOMA TEKNOLOGI HORTIKULTUR LANDSKAP","Politeknik","FB4622001","2026","63.59%","STEM, TVET","Warganegara Malaysia yang mempunyai No. Kad Pengenalan / My Kad. Memiliki Sijil Pelajaran Malaysia (SPM) dengan mendapat sekurang-kurangnya :- Gred E bagi matapelajaran BAHASA MELAYU. Gred E bagi matapelajaran SEJARAH. TIGA (3) C dalam mana-mana matapelajaran yang belum dikira.","Mendapat sekurang-kurangnya Gred E dalam mata pelajaran Bahasa Melayu. Mendapat sekurang-kurangnya Gred E dalam mata pelajaran Sejarah. Mendapat sekurang-kurangnya Gred C dalam mana-mana TIGA (3) mata pelajaran","Peringkat Pengajian : Diploma Mod Pengajian : Konvensional Tempoh Pengajian : 06 Semester Bidang NEC : 0812 Hortikultur Bertemu duga / Ujian: Tidak Joint / Dual / Double Degree : Tidak Purata Markah Merit: 63.59% Catatan: Tidak Berkenaan"
"281","DIPLOMA TEKNOLOGI INDUSTRI PERKAYUAN","Universiti Teknologi Mara","UE4543001","2026","47.38%","STEM, Bumiputera","Warganegara Malaysia yang mempunyai No. Kad Pengenalan / My Kad. Memiliki Sijil Pelajaran Malaysia (SPM) dengan mendapat sekurang-kurangnya :- Gred C bagi matapelajaran BAHASA MELAYU. Gred E bagi matapelajaran SEJARAH. DUA (2) C dalam mana-mana matapelajaran yang belum dikira.","Mendapat sekurang-kurangnya Gred C dalam mata pelajaran Bahasa Inggeris. Mendapat sekurang-kurangnya Gred E dalam SATU (1) mata pelajaran berikut : • Matematik / Matematik Tambahan / Sains Mendapat sekurang-kurangnya Gred E dalam DUA (2) mata pelajaran berikut : • Kimia / Biologi / Fizik / Sains Tambahan / Grafik Komunikasi Teknikal / Asas Kelestarian / Pertanian / Sains Rumah Tangga / Reka Cipta / Sains Komputer / Sains Sukan / Pengajian Kejuruteraan Awam / Pengajian Kejuruteraan Mekanikal / Pengajian Kejuruteraan Elektrik & Elektronik / Lukisan Kejuruteraan / Pembuatan Perabot / Hiasan Dalaman Asas / Reka Bentuk Grafik Berketurunan Melayu, Anak Negeri Sabah, Anak Negeri Sarawak dan Orang Asli sahaja.","Peringkat Pengajian : Diploma Mod Pengajian : Konvensional Tempoh Pengajian : 05 Semester Bidang NEC : 0722 Bahan (Kaca, Kertas, Plastik Dan Kayu) Bertemu duga / Ujian: Tidak Joint / Dual / Double Degree : Tidak Purata Markah Merit: 47.38% Catatan: Tidak Berkenaan"
"282","DIPLOMA TEKNOLOGI KEJURUTERAAN ELEKTRIK MARIN","Politeknik","FB4525007","2026","61.30%","STEM, TVET","Warganegara Malaysia yang mempunyai No. Kad Pengenalan / My Kad. Memiliki Sijil Pelajaran Malaysia (SPM) dengan mendapat sekurang-kurangnya :- Gred E bagi matapelajaran BAHASA MELAYU. Gred E bagi matapelajaran SEJARAH. TIGA (3) C dalam mana-mana matapelajaran yang belum dikira.","Mendapat sekurang-kurangnya Gred E dalam mata pelajaran Bahasa Melayu. Mendapat sekurang-kurangnya Gred E dalam mata pelajaran Sejarah. Mendapat sekurang-kurangnya Gred E dalam mata pelajaran Bahasa Inggeris. Mendapat sekurang-kurangnya Gred C dalam mata pelajaran Matematik. Mendapat sekurang-kurangnya Gred C dalam SATU (1) mata pelajaran berikut : • Sains / Matematik Tambahan / Fizik / Kimia / Biologi / Sains Tambahan / Pengajian Kejuruteraan Awam / Pengajian Kejuruteraan Mekanikal / Pengajian Kejuruteraan Elektrik & Elektronik / Lukisan Kejuruteraan / Sains Komputer / Grafik Komunikasi Teknikal / Reka Bentuk Grafik Digital / Pembinaan Domestik / Kerja Paip Domestik / Pendawaian Domestik / Kimpalan Arka Dan Gas / Menservis Automobil / Menservis Motosikal / Menservis Peralatan Penyejukan & Penyamanan Udara / Menservis Peralatan Elektrik Domestik / Pembuatan Perabot / Produksi Reka Tanda / Hiasan Dalaman / Seni Halus 2d / Reka Bentuk Grafik / Reka Bentuk Kraf / Seni Halus 3d / Reka Bentuk Industri / Lukisan / Reka Cipta / Pendidikan Seni Visual / Pertanian / Akuakultur & Haiwan Rekreasi / Produksi Multimedia / Tanaman Makanan / Sains Sukan / Multimedia Kreatif Mendapat sekurang-kurangnya Gred C dalam mana-mana SATU (1) mata pelajaran","Peringkat Pengajian : Diploma Mod Pengajian : Konvensional Tempoh Pengajian : 06 Semester Bidang NEC : 0715 Kenderaan Bermotor, Kapal Dan Pesawat Udara Bertemu duga / Ujian: Tidak Joint / Dual / Double Degree : Tidak Purata Markah Merit: 61.30% Catatan: Tidak Berkenaan"
"283","DIPLOMA TEKNOLOGI KEJURUTERAAN KIMIA","Universiti Tun Hussein Onn Malaysia","UB4524001","2026","85.35%","STEM, TVET","Warganegara Malaysia yang mempunyai No. Kad Pengenalan / My Kad. Memiliki Sijil Pelajaran Malaysia (SPM) dengan mendapat sekurang-kurangnya :- Gred C bagi matapelajaran BAHASA MELAYU. Gred E bagi matapelajaran SEJARAH. DUA (2) C dalam mana-mana matapelajaran yang belum dikira.","Mendapat sekurang-kurangnya Gred E dalam mata pelajaran Bahasa Inggeris. Mendapat sekurang-kurangnya Gred C dalam DUA (2) mata pelajaran berikut : • Matematik • Fizik / Kimia / Biologi / Matematik Tambahan / Pengajian Kejuruteraan Elektrik & Elektronik / Pengajian Kejuruteraan Mekanikal / Pengajian Kejuruteraan Awam / Lukisan Kejuruteraan ATAU Mendapat sekurang-kurangnya Gred C dalam SATU (1) mata pelajaran berikut : • Matematik Mendapat sekurang-kurangnya Gred B dalam DUA (2) mata pelajaran berikut : • Sains • Sains Tambahan / Sains Sukan / Pertanian","Peringkat Pengajian : Diploma Mod Pengajian : Konvensional Tempoh Pengajian : 05 Semester Bidang NEC : 0711 Kejuruteraan Kimia Dan Proses Bertemu duga / Ujian: Tidak Joint / Dual / Double Degree : Tidak Purata Markah Merit: 85.35% Catatan: Calon yang gagal atau tidak mengambil mata pelajaran Matematik Tambahan peringkat SPM perlu mengikuti dan lulus kursus pengukuhan Matematik pada tahun pertama pengajian."
"284","DIPLOMA TEKNOLOGI KEJURUTERAAN KIMIA","Baru","UR4524001","2026","N/A","STEM, TVET","Warganegara Malaysia yang mempunyai No. Kad Pengenalan / My Kad. Memiliki Sijil Pelajaran Malaysia (SPM) dengan mendapat sekurang-kurangnya :- Gred C bagi matapelajaran BAHASA MELAYU. Gred E bagi matapelajaran SEJARAH. DUA (2) C dalam mana-mana matapelajaran yang belum dikira.","Mendapat sekurang-kurangnya Gred C dalam mata pelajaran Matematik. Mendapat sekurang-kurangnya Gred C dalam SATU (1) mata pelajaran berikut : • Fizik / Kimia / Biologi / Pengajian Kejuruteraan Mekanikal / Pengajian Kejuruteraan Awam / Pengajian Kejuruteraan Elektrik & Elektronik / Asas Kelestarian / Lukisan Kejuruteraan / Grafik Komunikasi Teknikal / Reka Cipta / Sains / Sains Tambahan / Matematik Tambahan Mendapat sekurang-kurangnya Gred E dalam mata pelajaran Bahasa Inggeris.","Peringkat Pengajian : Diploma Mod Pengajian : Konvensional Tempoh Pengajian : 05 Semester Bidang NEC : 0711 Kejuruteraan Kimia Dan Proses Bertemu duga / Ujian: Tidak Joint / Dual / Double Degree : Tidak Purata Markah Merit: Tiada (Program Baru) Catatan: Tidak Berkenaan"
"285","DIPLOMA TEKNOLOGI KEJURUTERAAN MEKANIKAL","Universiti Malaysia Perlis","UR4521003","2026","72.09%","STEM, TVET","Warganegara Malaysia yang mempunyai No. Kad Pengenalan / My Kad. Memiliki Sijil Pelajaran Malaysia (SPM) dengan mendapat sekurang-kurangnya :- Gred C bagi matapelajaran BAHASA MELAYU. Gred E bagi matapelajaran SEJARAH. DUA (2) C dalam mana-mana matapelajaran yang belum dikira.","Mendapat sekurang-kurangnya Gred C dalam mata pelajaran Matematik. Mendapat sekurang-kurangnya Gred C dalam SATU (1) mata pelajaran berikut : • Fizik / Kimia / Biologi / Pengajian Kejuruteraan Mekanikal / Pengajian Kejuruteraan Awam / Pengajian Kejuruteraan Elektrik & Elektronik / Asas Kelestarian / Lukisan Kejuruteraan / Grafik Komunikasi Teknikal / Reka Cipta / Sains / Sains Tambahan / Sains Komputer Mendapat sekurang-kurangnya Gred E dalam mata pelajaran Bahasa Inggeris.","Peringkat Pengajian : Diploma Mod Pengajian : Konvensional Tempoh Pengajian : 06 Semester Bidang NEC : 0714 Mekanik Dan Tred Logam Bertemu duga / Ujian: Tidak Joint / Dual / Double Degree : Tidak Purata Markah Merit: 72.09% Catatan: Tidak Berkenaan"
"286","DIPLOMA TEKNOLOGI KEJURUTERAAN PEMBINAAN MARIN","Politeknik","FB4525006","2026","62.41%","STEM, TVET","Warganegara Malaysia yang mempunyai No. Kad Pengenalan / My Kad. Memiliki Sijil Pelajaran Malaysia (SPM) dengan mendapat sekurang-kurangnya :- Gred E bagi matapelajaran BAHASA MELAYU. Gred E bagi matapelajaran SEJARAH. TIGA (3) C dalam mana-mana matapelajaran yang belum dikira.","Mendapat sekurang-kurangnya Gred E dalam mata pelajaran Bahasa Melayu. Mendapat sekurang-kurangnya Gred E dalam mata pelajaran Sejarah. Mendapat sekurang-kurangnya Gred E dalam mata pelajaran Bahasa Inggeris. Mendapat sekurang-kurangnya Gred C dalam mata pelajaran Matematik. Mendapat sekurang-kurangnya Gred C dalam SATU (1) mata pelajaran berikut : • Sains / Matematik Tambahan / Fizik / Kimia / Biologi / Sains Tambahan / Pengajian Kejuruteraan Awam / Pengajian Kejuruteraan Mekanikal / Pengajian Kejuruteraan Elektrik & Elektronik / Lukisan Kejuruteraan / Sains Komputer / Grafik Komunikasi Teknikal / Reka Bentuk Grafik Digital / Pembinaan Domestik / Kerja Paip Domestik / Pendawaian Domestik / Kimpalan Arka Dan Gas / Menservis Automobil / Menservis Motosikal / Menservis Peralatan Penyejukan & Penyamanan Udara / Menservis Peralatan Elektrik Domestik / Pembuatan Perabot / Produksi Reka Tanda / Hiasan Dalaman / Seni Halus 2d / Reka Bentuk Grafik / Reka Bentuk Kraf / Seni Halus 3d / Reka Bentuk Industri / Lukisan / Reka Cipta / Pendidikan Seni Visual / Pertanian / Akuakultur & Haiwan Rekreasi / Produksi Multimedia / Tanaman Makanan / Sains Sukan / Multimedia Kreatif Mendapat sekurang-kurangnya Gred C dalam mana-mana SATU (1) mata pelajaran","Peringkat Pengajian : Diploma Mod Pengajian : Konvensional Tempoh Pengajian : 06 Semester Bidang NEC : 0715 Kenderaan Bermotor, Kapal Dan Pesawat Udara Bertemu duga / Ujian: Tidak Joint / Dual / Double Degree : Tidak Purata Markah Merit: 62.41% Catatan: Tidak Berkenaan"
"287","DIPLOMA TEKNOLOGI KEJURUTERAAN PEMBUATAN","Universiti Malaysia Pahang Al-Sultan Abdullah","UJ4521002","2026","63.21%","STEM, TVET","Warganegara Malaysia yang mempunyai No. Kad Pengenalan / My Kad. Memiliki Sijil Pelajaran Malaysia (SPM) dengan mendapat sekurang-kurangnya :- Gred C bagi matapelajaran BAHASA MELAYU. Gred E bagi matapelajaran SEJARAH. DUA (2) C dalam mana-mana matapelajaran yang belum dikira.","Mendapat sekurang-kurangnya Gred C dalam mata pelajaran Matematik. Mendapat sekurang-kurangnya Gred C dalam DUA (2) mata pelajaran berikut : • Sains Komputer / Pengajian Kejuruteraan Awam / Grafik Komunikasi Teknikal / Biologi / Pertanian / Asas Kelestarian / Pengajian Kejuruteraan Elektrik & Elektronik / Sains / Fizik / Matematik Tambahan / Pengajian Kejuruteraan Mekanikal / Lukisan Kejuruteraan / Kimia / Sains Tambahan / Reka Cipta Mendapat sekurang-kurangnya Gred E dalam SATU (1) mata pelajaran berikut : • Bahasa Inggeris ATAU Mendapat sekurang-kurangnya Gred E dalam SATU (1) mata pelajaran berikut : • Matematik Mendapat sekurang-kurangnya Gred C dalam TIGA (3) mata pelajaran berikut : • Sains Komputer / Pengajian Kejuruteraan Awam / Grafik Komunikasi Teknikal / Biologi / Pertanian / Asas Kelestarian / Pengajian Kejuruteraan Elektrik & Elektronik / Sains / Fizik / Matematik Tambahan / Pengajian Kejuruteraan Mekanikal / Lukisan Kejuruteraan / Kimia / Sains Tambahan / Reka Cipta Mendapat sekurang-kurangnya Gred E dalam SATU (1) mata pelajaran berikut : • Bahasa Inggeris","Peringkat Pengajian : Diploma Mod Pengajian : Konvensional Tempoh Pengajian : 05 Semester Bidang NEC : 0714 Mekanik Dan Tred Logam Bertemu duga / Ujian: Tidak Joint / Dual / Double Degree : Tidak Purata Markah Merit: 63.21% Catatan: Tempoh Pengajian 5 Semester + 1 Semester Pendek CATATAN: Calon yang LULUS (GRED D ATAU GRED E) bagi matapelajaran Matematik peringkat SPM diwajibkan mengambil dan lulus kursus matematik khas pada semester pertama pengajian peringkat diploma"
"288","DIPLOMA TEKNOLOGI KEJURUTERAAN POLIMER","Baru","UR4543001","2026","N/A","STEM, TVET","Warganegara Malaysia yang mempunyai No. Kad Pengenalan / My Kad. Memiliki Sijil Pelajaran Malaysia (SPM) dengan mendapat sekurang-kurangnya :- Gred C bagi matapelajaran BAHASA MELAYU. Gred E bagi matapelajaran SEJARAH. DUA (2) C dalam mana-mana matapelajaran yang belum dikira.","Mendapat sekurang-kurangnya Gred C dalam mata pelajaran Matematik. Mendapat sekurang-kurangnya Gred C dalam SATU (1) mata pelajaran berikut : • Fizik / Kimia / Biologi / Pengajian Kejuruteraan Mekanikal / Pengajian Kejuruteraan Awam / Pengajian Kejuruteraan Elektrik & Elektronik / Asas Kelestarian / Lukisan Kejuruteraan / Grafik Komunikasi Teknikal / Reka Cipta / Sains / Sains Tambahan / Sains Komputer / Kimpalan Arka Dan Gas Mendapat sekurang-kurangnya Gred E dalam mata pelajaran Bahasa Inggeris.","Peringkat Pengajian : Diploma Mod Pengajian : Konvensional Tempoh Pengajian : 05 Semester Bidang NEC : 0722 Bahan (Kaca, Kertas, Plastik Dan Kayu) Bertemu duga / Ujian: Tidak Joint / Dual / Double Degree : Tidak Purata Markah Merit: Tiada (Program Baru) Catatan: Tidak Berkenaan"
"289","DIPLOMA TEKNOLOGI KIMIA (LEMAK DAN MINYAK)","Politeknik","FB4524002","2026","63.66%","STEM, TVET","Warganegara Malaysia yang mempunyai No. Kad Pengenalan / My Kad. Memiliki Sijil Pelajaran Malaysia (SPM) dengan mendapat sekurang-kurangnya :- Gred E bagi matapelajaran BAHASA MELAYU. Gred E bagi matapelajaran SEJARAH. TIGA (3) C dalam mana-mana matapelajaran yang belum dikira.","Mendapat sekurang-kurangnya Gred E dalam mata pelajaran Bahasa Melayu. Mendapat sekurang-kurangnya Gred E dalam mata pelajaran Sejarah. Mendapat sekurang-kurangnya Gred C dalam mana-mana TIGA (3) mata pelajaran","Peringkat Pengajian : Diploma Mod Pengajian : Konvensional Tempoh Pengajian : 06 Semester Bidang NEC : 0531 Kimia Bertemu duga / Ujian: Tidak Joint / Dual / Double Degree : Tidak Purata Markah Merit: 63.66% Catatan: Tidak Berkenaan"
"290","DIPLOMA TEKNOLOGI KIMIA PERINDUSTRIAN","Universiti Teknologi Mara","UE4524002","2026","68.41%","STEM, Bumiputera","Warganegara Malaysia yang mempunyai No. Kad Pengenalan / My Kad. Memiliki Sijil Pelajaran Malaysia (SPM) dengan mendapat sekurang-kurangnya :- Gred C bagi matapelajaran BAHASA MELAYU. Gred E bagi matapelajaran SEJARAH. DUA (2) C dalam mana-mana matapelajaran yang belum dikira.","Mendapat sekurang-kurangnya Gred C dalam mata pelajaran Bahasa Inggeris. Mendapat sekurang-kurangnya Gred C dalam SATU (1) mata pelajaran berikut : • Matematik / Matematik Tambahan Mendapat sekurang-kurangnya Gred C dalam mata pelajaran Kimia. Mendapat sekurang-kurangnya Gred C dalam SATU (1) mata pelajaran berikut : • Fizik / Biologi / Sains / Sains Komputer / Reka Cipta / Lukisan Kejuruteraan / Ekonomi / Perniagaan Berketurunan Melayu, Anak Negeri Sabah, Anak Negeri Sarawak dan Orang Asli sahaja.","Peringkat Pengajian : Diploma Mod Pengajian : Konvensional Tempoh Pengajian : 05 Semester Bidang NEC : 0531 Kimia Bertemu duga / Ujian: Tidak Joint / Dual / Double Degree : Tidak Purata Markah Merit: 68.41% Catatan: Tidak Berkenaan"
"291","DIPLOMA TEKNOLOGI KOMUNIKASI MEDIA DIGITAL","Universiti Teknologi Mara","UE4213003","2026","67.20%","Bumiputera","Warganegara Malaysia yang mempunyai No. Kad Pengenalan / My Kad. Memiliki Sijil Pelajaran Malaysia (SPM) dengan mendapat sekurang-kurangnya :- Gred C bagi matapelajaran BAHASA MELAYU. Gred E bagi matapelajaran SEJARAH. DUA (2) C dalam mana-mana matapelajaran yang belum dikira.","Mendapat sekurang-kurangnya Gred C+ dalam mata pelajaran Bahasa Melayu. Mendapat sekurang-kurangnya Gred B dalam mata pelajaran Bahasa Inggeris. Mendapat sekurang-kurangnya Gred E dalam SATU (1) mata pelajaran berikut : • Matematik / Matematik Tambahan Berketurunan Melayu, Anak Negeri Sabah, Anak Negeri Sarawak dan Orang Asli sahaja.","Peringkat Pengajian : Diploma Mod Pengajian : Konvensional Tempoh Pengajian : 05 Semester Bidang NEC : 0323 Media Dan Komunikasi Bertemu duga / Ujian: Tidak Joint / Dual / Double Degree : Tidak Purata Markah Merit: 67.20% Catatan: Tidak Berkenaan"
"292","DIPLOMA TEKNOLOGI KREATIF DIGITAL ANIMASI","Politeknik","FB4213007","2026","77.01%","","Warganegara Malaysia yang mempunyai No. Kad Pengenalan / My Kad. Memiliki Sijil Pelajaran Malaysia (SPM) dengan mendapat sekurang-kurangnya :- Gred E bagi matapelajaran BAHASA MELAYU. Gred E bagi matapelajaran SEJARAH. TIGA (3) C dalam mana-mana matapelajaran yang belum dikira.","Mendapat sekurang-kurangnya Gred E dalam mata pelajaran Bahasa Melayu. Mendapat sekurang-kurangnya Gred E dalam mata pelajaran Sejarah. Mendapat sekurang-kurangnya Gred C dalam mana-mana TIGA (3) mata pelajaran","Peringkat Pengajian : Diploma Mod Pengajian : Konvensional Tempoh Pengajian : 03 Semester Bidang NEC : 0211 Teknik Audio-Visual Dan Penerbitan Media Bertemu duga / Ujian: Tidak Joint / Dual / Double Degree : Tidak Purata Markah Merit: 77.01% Catatan: Tidak Berkenaan"
"293","DIPLOMA TEKNOLOGI KREATIF DIGITAL PRODUKSI VIDEO","Politeknik","FB4213006","2026","65.66%","","Warganegara Malaysia yang mempunyai No. Kad Pengenalan / My Kad. Memiliki Sijil Pelajaran Malaysia (SPM) dengan mendapat sekurang-kurangnya :- Gred E bagi matapelajaran BAHASA MELAYU. Gred E bagi matapelajaran SEJARAH. TIGA (3) C dalam mana-mana matapelajaran yang belum dikira.","Mendapat sekurang-kurangnya Gred E dalam mata pelajaran Bahasa Melayu. Mendapat sekurang-kurangnya Gred E dalam mata pelajaran Sejarah. Mendapat sekurang-kurangnya Gred C dalam mana-mana TIGA (3) mata pelajaran","Peringkat Pengajian : Diploma Mod Pengajian : Konvensional Tempoh Pengajian : 06 Semester Bidang NEC : 0211 Teknik Audio-Visual Dan Penerbitan Media Bertemu duga / Ujian: Tidak Joint / Dual / Double Degree : Tidak Purata Markah Merit: 65.66% Catatan: Tidak Berkenaan"
"294","DIPLOMA TEKNOLOGI KREATIF DIGITAL SENI","Politeknik","FB4213005","2026","71.90%","","Warganegara Malaysia yang mempunyai No. Kad Pengenalan / My Kad. Memiliki Sijil Pelajaran Malaysia (SPM) dengan mendapat sekurang-kurangnya :- Gred E bagi matapelajaran BAHASA MELAYU. Gred E bagi matapelajaran SEJARAH. TIGA (3) C dalam mana-mana matapelajaran yang belum dikira.","Mendapat sekurang-kurangnya Gred E dalam mata pelajaran Bahasa Melayu. Mendapat sekurang-kurangnya Gred E dalam mata pelajaran Sejarah. Mendapat sekurang-kurangnya Gred C dalam mana-mana TIGA (3) mata pelajaran","Peringkat Pengajian : Diploma Mod Pengajian : Konvensional Tempoh Pengajian : 06 Semester Bidang NEC : 0211 Teknik Audio-Visual Dan Penerbitan Media Bertemu duga / Ujian: Tidak Joint / Dual / Double Degree : Tidak Purata Markah Merit: 71.90% Catatan: Tidak Berkenaan"
"295","DIPLOMA TEKNOLOGI MAKANAN","Politeknik","FB4541001","2026","67.25%","STEM, TVET","Warganegara Malaysia yang mempunyai No. Kad Pengenalan / My Kad. Memiliki Sijil Pelajaran Malaysia (SPM) dengan mendapat sekurang-kurangnya :- Gred E bagi matapelajaran BAHASA MELAYU. Gred E bagi matapelajaran SEJARAH. TIGA (3) C dalam mana-mana matapelajaran yang belum dikira.","Mendapat sekurang-kurangnya Gred E dalam mata pelajaran Bahasa Melayu. Mendapat sekurang-kurangnya Gred E dalam mata pelajaran Sejarah. Mendapat sekurang-kurangnya Gred C dalam mana-mana TIGA (3) mata pelajaran","Peringkat Pengajian : Diploma Mod Pengajian : Konvensional Tempoh Pengajian : 06 Semester Bidang NEC : 0721 Pemprosesan Makanan Bertemu duga / Ujian: Tidak Joint / Dual / Double Degree : Tidak Purata Markah Merit: 67.25% Catatan: Tidak Berkenaan"
"296","DIPLOMA TEKNOLOGI MAKANAN","Universiti Teknologi Mara","UE4541001","2026","76.46%","STEM, Bumiputera","Warganegara Malaysia yang mempunyai No. Kad Pengenalan / My Kad. Memiliki Sijil Pelajaran Malaysia (SPM) dengan mendapat sekurang-kurangnya :- Gred C bagi matapelajaran BAHASA MELAYU. Gred E bagi matapelajaran SEJARAH. DUA (2) C dalam mana-mana matapelajaran yang belum dikira.","Mendapat sekurang-kurangnya Gred C dalam mata pelajaran Bahasa Inggeris. Mendapat sekurang-kurangnya Gred C dalam SATU (1) mata pelajaran berikut : • Matematik / Matematik Tambahan Mendapat sekurang-kurangnya Gred C dalam SATU (1) mata pelajaran berikut : • Kimia / Biologi / Fizik / Pemprosesan Makanan / Sains / Sains Tambahan / Pertanian / Sains Komputer / Tanaman Makanan / Katering Dan Penyajian / Akuakultur & Haiwan Rekreasi Berketurunan Melayu, Anak Negeri Sabah, Anak Negeri Sarawak dan Orang Asli sahaja.","Peringkat Pengajian : Diploma Mod Pengajian : Konvensional Tempoh Pengajian : 05 Semester Bidang NEC : 0721 Pemprosesan Makanan Bertemu duga / Ujian: Tidak Joint / Dual / Double Degree : Tidak Purata Markah Merit: 76.46% Catatan: Tidak Berkenaan"
"297","DIPLOMA TEKNOLOGI MAKANAN PENGURUSAN HALAL","Politeknik","FB4541002","2026","70.18%","STEM, TVET","Warganegara Malaysia yang mempunyai No. Kad Pengenalan / My Kad. Memiliki Sijil Pelajaran Malaysia (SPM) dengan mendapat sekurang-kurangnya :- Gred E bagi matapelajaran BAHASA MELAYU. Gred E bagi matapelajaran SEJARAH. TIGA (3) C dalam mana-mana matapelajaran yang belum dikira.","Mendapat sekurang-kurangnya Gred E dalam mata pelajaran Bahasa Melayu. Mendapat sekurang-kurangnya Gred E dalam mata pelajaran Sejarah. Mendapat sekurang-kurangnya Gred C dalam mana-mana TIGA (3) mata pelajaran","Peringkat Pengajian : Diploma Mod Pengajian : Konvensional Tempoh Pengajian : 06 Semester Bidang NEC : 0721 Pemprosesan Makanan Bertemu duga / Ujian: Tidak Joint / Dual / Double Degree : Tidak Purata Markah Merit: 70.18% Catatan: Tidak Berkenaan"
"298","DIPLOMA TEKNOLOGI MAKLUMAT","Politeknik","FB4482001","2026","59.93%","TVET","Warganegara Malaysia yang mempunyai No. Kad Pengenalan / My Kad. Memiliki Sijil Pelajaran Malaysia (SPM) dengan mendapat sekurang-kurangnya :- Gred E bagi matapelajaran BAHASA MELAYU. Gred E bagi matapelajaran SEJARAH. TIGA (3) C dalam mana-mana matapelajaran yang belum dikira.","Mendapat sekurang-kurangnya Gred E dalam mata pelajaran Bahasa Melayu. Mendapat sekurang-kurangnya Gred E dalam mata pelajaran Sejarah. Mendapat sekurang-kurangnya Gred E dalam mata pelajaran Bahasa Inggeris. Mendapat sekurang-kurangnya Gred C dalam mata pelajaran Matematik. Mendapat sekurang-kurangnya Gred C dalam mana-mana DUA (2) mata pelajaran","Peringkat Pengajian : Diploma Mod Pengajian : Konvensional Tempoh Pengajian : 06 Semester Bidang NEC : 0611 Teknologi Maklumat Dan Sistem Maklumat Bertemu duga / Ujian: Tidak Joint / Dual / Double Degree : Tidak Purata Markah Merit: 59.93% Catatan: Tidak Berkenaan"
"299","DIPLOMA TEKNOLOGI MAKLUMAT","Universiti Sultan Zainal Abidin","UD4482001","2026","79.69%","","Warganegara Malaysia yang mempunyai No. Kad Pengenalan / My Kad. Memiliki Sijil Pelajaran Malaysia (SPM) dengan mendapat sekurang-kurangnya :- Gred C bagi matapelajaran BAHASA MELAYU. Gred E bagi matapelajaran SEJARAH. DUA (2) C dalam mana-mana matapelajaran yang belum dikira.","Mendapat sekurang-kurangnya Gred C dalam mata pelajaran Bahasa Melayu. Mendapat sekurang-kurangnya Gred D dalam mata pelajaran Bahasa Inggeris. Mendapat sekurang-kurangnya Gred C dalam SATU (1) mata pelajaran berikut : • Matematik • Matematik Tambahan Mendapat sekurang-kurangnya Gred C dalam SATU (1) mata pelajaran berikut : • Pendidikan Islam • Pendidikan Syari'ah Islamiah • Pendidikan Al-quran Dan Al-sunnah • Tasawwur Islam • Bahasa Arab / Bahasa Arab Tinggi • Usul Al-din • Al-syariah • Manahij Al-'ulum Al-islamiah • Al-adab Wa Al-balaghah • Hifz Al Quran • Maharat Al Quran • Al-lughah Al-arabiah Al-mu'asirah Mendapat sekurang-kurangnya Gred C dalam mana-mana DUA (2) mata pelajaran yang belum diambil kira","Peringkat Pengajian : Diploma Mod Pengajian : Konvensional Tempoh Pengajian : 06 Semester Bidang NEC : 0611 Teknologi Maklumat Dan Sistem Maklumat Bertemu duga / Ujian: Tidak Joint / Dual / Double Degree : Tidak Purata Markah Merit: 79.69% Catatan: Tidak Berkenaan"
